id_transaksi,tanggal,nama_pelanggan,produk,kategori_produk,jumlah,harga_satuan,total_harga,diskon_persen,biaya_pengiriman,total_akhir,metode_pembayaran,kota,rating_pelanggan,status_pengiriman,channel_penjualan
1,2025-10-14,Lusi,"Blender Philips",Elektronik,3,3296710,9890120,10,13336,8914440,"Kartu Kredit",Medan,4.5,Selesai,"Mobile App"
2,2025-10-18,Dewanto,"Sweater Rajut",Fashion,4,221414,885656,0,20547,906203,Debit,Bandung,4.1,Pending,Website
3,2025-10-24,Yusuf,"Minyak Goreng 2L",Groceries,3,235906,707718,0,21077,728795,E-Wallet,Medan,4.9,Selesai,"Mobile App"
4,2025-10-21,Bayu,"Topi Baseball",Fashion,2,299852,599704,5,18933,588652,E-Wallet,Tangerang,4.7,Selesai,"Mobile App"
5,2025-10-29,Nina,"Speaker JBL",Elektronik,2,13775400,27550800,15,32244,23450500,"Kartu Kredit",Bandung,3.9,Pending,"Mobile App"
6,2025-10-21,Hendra,"Gula Pasir 1kg",Groceries,1,59643,59643,5,39533,96193.9,COD,Medan,4.3,Selesai,Website
7,2025-10-22,Dewi,"iPhone 15",Elektronik,3,13184500,39553600,0,30396,39584000,"Kartu Kredit",Tangerang,4.7,Selesai,Marketplace
8,2025-10-01,Rara,"Tas Kulit",Fashion,3,222772,668316,5,32194,667094,Debit,Jakarta,4.8,Selesai,"Mobile App"
9,2025-10-25,Lusi,"Sendal Adidas",Fashion,5,26046,130230,5,46008,169726,Debit,Bandung,4.4,Selesai,"Mobile App"
10,2025-10-18,Dewi,"Kaos Polos",Fashion,3,139662,418986,0,35666,454652,E-Wallet,Bekasi,3.7,Dikirim,Website
11,2025-10-08,Miko,"Jam Tangan Casio",Fashion,2,59121,118242,25,14479,103160,Debit,Medan,4.6,Selesai,"Mobile App"
12,2025-10-04,Rahmat,"Bedak Maybelline",Kecantikan,2,176979,353958,0,42453,396411,"Kartu Kredit",Depok,4.3,Selesai,Marketplace
13,2025-10-10,Rahmat,"Parfum Dior",Kecantikan,2,53134,106268,0,33761,140029,Debit,Surabaya,4.9,Selesai,"Mobile App"
14,2025-10-05,Tono,"Tepung Terigu 1kg",Groceries,3,83615,250845,5,16832,255135,"Kartu Kredit",Depok,4.8,Selesai,Website
15,2025-10-17,Tono,"Headset Sony",Elektronik,2,3479280,6958570,0,31079,6989650,COD,Medan,3.5,Dikirim,Marketplace
